title,link,summary,date
Sydney Thunder sign Chris Morris; James Vince returns to the Sixers,https://www.espncricinfo.com/story/sydney-thunder-sign-chris-morris-james-vince-returns-to-the-sixers-1201104,South African bowling allrounder set for his first stint in the BBL while English batsman returns after a successful spell last season,18-Sep-2019
"Luis Reece, Billy Godleman may have damaged Sussex's promotion bid beyond repair",https://www.espncricinfo.com/series/county-div-2-2019-1166901/derbyshire-vs-sussex-1167029/match-report-2,"Reece had a day to remember, becoming only the second Derbyshire player to score 150 and take five wickets in an innings",17-Sep-2019
Matt Milnes five-for helps Kent strengthen grip on clash with Yorkshire,https://www.espncricinfo.com/series/county-div-one-2019-1166898/yorkshire-vs-kent-1166964/match-report-2,"Day-one double centurion Darren Stevens claims two Yorkshire wickets, while Matt Milnes bags 5 for 87, despite Kent's fielding woes",17-Sep-2019
"As season draws to a close, innings like John Simpson's will be sorely missed over winter",https://www.espncricinfo.com/series/county-div-2-2019-1166901/lancashire-vs-middlesex-1167031/match-report-2,Simpson's 167* means Middlesex may inflict first defeat on a team they had hoped to join in the First Division next year,17-Sep-2019
Promotion contenders Gloucestershire make hard work for themselves against Worcestershire,https://www.espncricinfo.com/series/county-div-2-2019-1166901/worcestershire-vs-gloucestershire-1167033/match-report-2,"Chasing 115 to win, hosts give up chance to chase victory inside two days",17-Sep-2019
Dan Lawrence showcases talent with ton for Championship challengers Essex,https://www.espncricinfo.com/series/county-div-one-2019-1166898/essex-vs-surrey-1166961/match-report-2,Lawrence's 147 follows five-wicket hauls for Jamie Porter and Sam Cook as Ryan ten Doeschate remains 78 not out,17-Sep-2019
"Adam Rossington lives up to coach's praise with contrasting, crucial half-centuries",https://www.espncricinfo.com/series/county-div-2-2019-1166901/northamptonshire-vs-durham-1167032/match-report-2,Stand-in captain brings considerable influence to bear for Northants,17-Sep-2019
Relentless Kyle Abbott claims nine wickets to dent Somerset's hopes of winning maiden title,https://www.espncricinfo.com/series/county-div-one-2019-1166898/hampshire-vs-somerset-1166962/match-report-2,Abbott runs through Somerset with 9 for 40 before James Vince's unbeaten century builds lead for Hants,17-Sep-2019
Unbeaten Dom Sibley ton keeps Warwickshire in pursuit of Notts' big first innings,https://www.espncricinfo.com/series/county-div-one-2019-1166898/nottinghamshire-vs-warwickshire-1166963/match-report-2,Sam Hain not out 67 in unbroken third-wicket partnership of 143 with Sibley,17-Sep-2019
Glamorgan gave slim chances of promotion a boost against Leicestershire,https://www.espncricinfo.com/series/county-div-2-2019-1166901/glamorgan-vs-leicestershire-1167030/match-report-2,"After Glamorgan had gained maximum batting points and were dismissed for 435, the visitors suffered a collapse",17-Sep-2019
Stuart Broad in 'good place' after summer reinvention,https://www.espncricinfo.com/story/stuart-broad-in-good-place-after-summer-reinvention-1201090,"Senior fast bowler goes from ""diminishing cricketer"" to significant force once again after perfecting new approach",17-Sep-2019
'If all Test cricket is like this it's going to be very exciting' - Jofra Archer on Ashes debut,https://www.espncricinfo.com/story/if-all-test-cricket-is-like-this-it-s-going-to-be-very-exciting-jofra-archer-on-ashes-debut-1201095,Archer's displays throughout his four Ashes Tests have made him an automatic pick for future engagements,17-Sep-2019
